Period,Site,Hard Coral Cover,Hard Coral Cover_N,Hard Coral Cover_SD,Hard Coral Cover_SE,Hard Coral Cover_CI_low,Hard Coral Cover_CI_high,Hard Coral Cover_EB_low,Hard Coral Cover_EB_high,Soft Coral Cover,Soft Coral Cover_N,Soft Coral Cover_SD,Soft Coral Cover_SE,Soft Coral Cover_CI_low,Soft Coral Cover_CI_high,Soft Coral Cover_EB_low,Soft Coral Cover_EB_high,Fresh Algae Cover,Fresh Algae Cover_N,Fresh Algae Cover_SD,Fresh Algae Cover_SE,Fresh Algae Cover_CI_low,Fresh Algae Cover_CI_high,Fresh Algae Cover_EB_low,Fresh Algae Cover_EB_high,Rubble Cover,Rubble Cover_N,Rubble Cover_SD,Rubble Cover_SE,Rubble Cover_CI_low,Rubble Cover_CI_high,Rubble Cover_EB_low,Rubble Cover_EB_high,Bleaching,Bleaching_N,Bleaching_SD,Bleaching_SE,Bleaching_CI_low,Bleaching_CI_high,Bleaching_EB_low,Bleaching_EB_high
Autumn/Winter 17/18,Andulay MPA,43.07,29,17.13,3.18,36.56,49.59,39.89,46.26,6.18,29,6.04,1.12,3.88,8.48,5.06,7.3,8.91,29,8.79,1.63,5.57,12.25,7.28,10.54,12.73,29,11.14,2.07,8.49,16.97,10.66,14.8,5.72,29,6.5,1.21,3.24,8.19,4.51,6.93
Autumn/Winter 17/18,Antulang,40.33,20,14.24,3.18,33.67,47.0,37.15,43.52,8.54,20,6.79,1.52,5.36,11.72,7.02,10.06,9.83,20,7.79,1.74,6.19,13.48,8.09,11.57,5.04,20,5.2,1.16,2.61,7.48,3.88,6.21,2.29,20,1.81,0.4,1.44,3.14,1.89,2.7
Autumn/Winter 17/18,Basak Can-Unsang MPA,34.64,21,12.36,2.7,29.02,40.27,31.95,37.34,4.44,21,3.66,0.8,2.78,6.11,3.64,5.24,5.91,21,5.77,1.26,3.29,8.54,4.65,7.17,7.42,21,8.43,1.84,3.58,11.26,5.58,9.26,2.34,21,3.03,0.66,0.96,3.72,1.68,3.0
Autumn/Winter 17/18,Guinsuan MPA,24.05,22,14.2,3.03,17.76,30.35,21.02,27.08,5.57,22,16.45,3.51,0.0,12.86,2.06,9.07,11.82,22,10.27,2.19,7.26,16.37,9.63,14.01,3.52,22,3.61,0.77,1.92,5.12,2.75,4.29,1.74,22,3.31,0.71,0.27,3.21,1.04,2.45
Autumn/Winter 17/18,Kookoos,42.54,22,19.64,4.19,33.83,51.25,38.35,46.73,22.58,22,14.8,3.15,16.02,29.14,19.42,25.73,6.86,22,6.04,1.29,4.18,9.53,5.57,8.14,5.19,22,6.63,1.41,2.25,8.13,3.78,6.6,3.03,22,2.69,0.57,1.84,4.22,2.46,3.6
Autumn/Winter 17/18,Lutoban North MPA,37.56,26,20.27,3.98,29.38,45.75,33.59,41.54,15.48,26,20.72,4.06,7.11,23.85,11.42,19.54,10.06,26,7.85,1.54,6.89,13.24,8.52,11.6,8.72,26,7.75,1.52,5.59,11.85,7.2,10.24,3.04,26,3.52,0.69,1.62,4.47,2.35,3.74
Autumn/Winter 17/18,Lutoban Pier,51.92,23,19.08,3.98,43.67,60.17,47.94,55.9,9.67,23,9.84,2.05,5.42,13.93,7.62,11.73,7.17,23,6.3,1.31,4.45,9.9,5.86,8.49,5.4,23,4.7,0.98,3.37,7.43,4.42,6.38,2.32,23,5.96,1.24,0.0,4.9,1.08,3.56
Autumn/Winter 17/18,Maluay Malatapay MPA,37.07,25,15.37,3.07,30.72,43.41,33.99,40.14,0.63,25,1.37,0.27,0.07,1.2,0.36,0.91,18.17,25,11.52,2.3,13.41,22.92,15.86,20.47,8.07,25,8.69,1.74,4.48,11.65,6.33,9.8,3.07,25,4.78,0.96,1.09,5.04,2.11,4.02
Spring/Summer 18,Maluay Malatapay MPA,25.28,30,13.05,2.38,20.41,30.15,22.9,27.66,0.22,30,0.65,0.12,0.0,0.47,0.1,0.34,28.61,30,14.65,2.67,23.14,34.08,25.94,31.29,7.89,30,9.03,1.65,4.52,11.26,6.24,9.54,1.17,30,1.8,0.33,0.49,1.84,0.84,1.5
Spring/Summer 18,Lutoban South MPA,28.89,6,6.62,2.7,21.94,35.83,26.19,31.59,16.39,6,14.57,5.95,1.09,31.68,10.44,22.34,13.89,6,6.66,2.72,6.9,20.88,11.17,16.61,8.89,6,10.05,4.1,0.0,19.44,4.79,12.99,1.39,6,1.14,0.46,0.19,2.58,0.92,1.85
Spring/Summer 18,Lutoban North MPA,29.57,27,15.08,2.9,23.6,35.53,26.67,32.47,4.44,27,3.71,0.71,2.98,5.91,3.73,5.16,18.24,27,11.73,2.26,13.6,22.88,15.98,20.5,5.71,27,4.88,0.94,3.78,7.64,4.77,6.65,0.68,27,1.08,0.21,0.25,1.11,0.47,0.89
Spring/Summer 18,Kookoos,39.14,33,12.47,2.17,34.72,43.56,36.97,41.31,22.65,33,19.58,3.41,15.71,29.6,19.24,26.06,12.53,33,9.49,1.65,9.16,15.89,10.87,14.18,3.43,33,4.2,0.73,1.94,4.92,2.7,4.17,5.3,33,7.62,1.33,2.6,8.0,3.98,6.63
Spring/Summer 18,Guinsuan MPA,18.33,25,8.13,1.63,14.98,21.69,16.71,19.96,0.47,25,0.99,0.2,0.06,0.88,0.27,0.67,12.23,25,6.0,1.2,9.76,14.71,11.03,13.43,2.0,25,2.56,0.51,0.94,3.06,1.49,2.51,1.23,25,1.72,0.34,0.52,1.94,0.89,1.58
Spring/Summer 18,Basak Can-Unsang MPA,27.28,26,13.03,2.56,22.01,32.54,24.72,29.83,8.85,26,12.87,2.52,3.65,14.04,6.32,11.37,16.76,26,12.29,2.41,11.8,21.73,14.35,19.17,6.6,26,6.7,1.31,3.89,9.31,5.29,7.92,1.41,26,2.84,0.56,0.26,2.56,0.85,1.97
Spring/Summer 18,Antulang,27.87,34,12.06,2.07,23.66,32.07,25.8,29.94,7.84,34,6.59,1.13,5.54,10.14,6.71,8.97,22.35,34,9.92,1.7,18.89,25.81,20.65,24.05,6.0,34,6.05,1.04,3.9,8.11,4.97,7.04,0.76,34,1.57,0.27,0.21,1.31,0.49,1.03
Spring/Summer 18,Andulay MPA,42.02,33,13.7,2.38,37.16,46.88,39.64,44.4,4.42,33,3.87,0.67,3.05,5.79,3.75,5.09,15.98,33,9.04,1.57,12.78,19.19,14.41,17.56,7.37,33,5.32,0.93,5.49,9.26,6.45,8.3,1.69,33,1.82,0.32,1.05,2.34,1.37,2.01
Spring/Summer 18,Lutoban Pier,49.93,36,14.65,2.44,44.97,54.89,47.49,52.37,6.9,36,7.14,1.19,4.48,9.31,5.71,8.09,10.0,36,7.59,1.27,7.43,12.57,8.73,11.27,4.17,36,5.03,0.84,2.47,5.87,3.33,5.0,5.28,36,7.84,1.31,2.63,7.93,3.97,6.58
Autumn/Winter 18/19,Maluay Malatapay MPA,22.88,40,14.8,2.34,18.14,27.61,20.54,25.21,0.35,40,1.35,0.21,0.0,0.78,0.14,0.57,32.12,40,16.2,2.56,26.94,37.31,29.56,34.69,10.83,40,9.7,1.53,7.73,13.93,9.3,12.37,1.48,40,1.85,0.29,0.89,2.07,1.19,1.77
Autumn/Winter 18/19,Lutoban North MPA,32.01,34,14.49,2.49,26.95,37.07,29.52,34.49,5.61,34,6.26,1.07,3.43,7.8,4.54,6.69,18.92,34,14.36,2.46,13.91,23.93,16.46,21.38,9.02,34,8.66,1.48,6.0,12.04,7.54,10.5,1.15,34,1.6,0.27,0.59,1.71,0.88,1.43
Autumn/Winter 18/19,Kookoos,39.37,33,10.24,1.78,35.74,43.0,37.59,41.15,19.67,33,9.75,1.7,16.21,23.13,17.97,21.37,12.68,33,7.35,1.28,10.07,15.28,11.4,13.96,2.68,33,3.35,0.58,1.49,3.87,2.09,3.26,3.03,33,3.33,0.58,1.85,4.21,2.45,3.61
